GRP_ID,BLIDS_INC,AREA_GROSS_EXT_SUM,NAME,PULSE_ID
654,<Null>,812.74,Abdul Ladha,2615
11,<Null>,835.67,Acadia Community Ctr,
450-1,<Null>,1086.98,Acadia House,
450-2,<Null>,680.82,Acadia House,
450-3,<Null>,1086.98,Acadia House,
010-01,<Null>,431.62,Acadia House 3-1,
010-10,<Null>,439.65,Acadia House 3-10,
010-02,<Null>,387.54,Acadia House 3-2,
010-03,<Null>,431.62,Acadia House 3-3,
010-04,<Null>,402.55,Acadia House 3-4,
010-05,<Null>,1785.41,Acadia House 3-5,
010-06,<Null>,1222.4,Acadia House 3-6,
010-07,<Null>,1232.55,Acadia House 3-7,
010-08,<Null>,1124.82,Acadia House 3-8,
010-09,<Null>,1090.31,Acadia House 3-9,
009-01,<Null>,646.67,Acadia Housing - 1,
009-10,<Null>,654.2,Acadia Housing - 10,
009-11,<Null>,545.5,Acadia Housing - 11,
009-12,<Null>,1516.09,Acadia Housing - 12,
009-13,<Null>,1515.08,Acadia Housing - 13,
009-14,<Null>,924.5,Acadia Housing - 14,
009-15,<Null>,1069.88,Acadia Housing - 15,
009-16,<Null>,395.52,Acadia Housing - 16,
009-17,<Null>,880.89,Acadia Housing - 17,
009-18,<Null>,382.98,Acadia Housing - 18,
009-19,<Null>,1450.5,Acadia Housing - 19,
009-02,<Null>,379.75,Acadia Housing - 2,
009-20,<Null>,294.21,Acadia Housing - 20,
009-21,<Null>,379.97,Acadia Housing - 21,
009-22,<Null>,395.5,Acadia Housing - 22,
009-23,<Null>,411.09,Acadia Housing - 23,
009-24,<Null>,395.5,Acadia Housing - 24,
009-25,<Null>,379.7,Acadia Housing - 25,
009-26,<Null>,395.5,Acadia Housing - 26,
009-03,<Null>,200.92,Acadia Housing - 3,
009-04,<Null>,679.39,Acadia Housing - 4,
009-05,<Null>,401.09,Acadia Housing - 5,
009-06,<Null>,380.23,Acadia Housing - 6,
009-07,<Null>,646.69,Acadia Housing - 7,
009-08,<Null>,841.15,Acadia Housing - 8,
009-09,<Null>,411.19,Acadia Housing - 9,
002-1,<Null>,8663.07,Acadia Park Highrise,
014-1,<Null>,594.71,Acadia Row 1,
014-2,<Null>,594.71,Acadia Row 2,
014-3,<Null>,594.71,Acadia Row 3,
316,<Null>,5368.46,AERL,321
896-4,<Null>,2221.19,Aldyen Hamber House,
Allard Hall,<Null>,14908.73,Allard Hall,
82,<Null>,33.24,Alpine Garden,
539,<Null>,210.8,Ambulance Station,
876-2,<Null>,1697.1,Anne Wesbrook Hall,
48,<Null>,1765.84,AnSoc,324
34,<Null>,7687.8,Aquatic Centre,
837,<Null>,0,Argyll House,
810,<Null>,0,Argyll House East,
46,<Null>,5531.91,Asian Center,325
44,<Null>,3518.42,Auditorium,
45,<Null>,,Auditorium Annex,
